MISPAR RECHEV|TAARICH HAFAKAT TAG|SUG TAV
1038087|20190709|1
1038152|20190826|2
1038162|20190806|1
1038176|20200102|1
1038187|20191002|1
1038234|20190826|2
1038287|20191205|1
1038384|20190826|1
1038461|20171120|1
1038476|20190624|1
1038487|20190826|1
1038534|20191106|1
1038560|20190826|1
1038732|20190826|1
1038738|20191117|1
1038771|20200107|1
1038785|20200106|1
1038871|20190826|1
1038876|20191118|1
1038878|20190804|1
1038985|20190505|1
1039087|20190826|1
1039137|20191211|1
1039137|20190826|1
1039187|20191229|1
1039250|20190702|1
1039371|20190212|1
1039376|20190826|1
1039435|20190826|1
1039475|20190304|1
1039487|20190521|1
1039537|20190723|1
1039572|20190501|2
1039732|20190826|1
1039760|20180318|1
1039872|20190826|1
1039878|20190826|1
1039937|20190826|1
1040129|20190826|1
1040132|20180820|1
1040137|20190826|1
1040250|20181230|1
1040250|20200106|1
1040334|20190826|1
1040337|20190826|1
1040466|20191203|1
1040467|20190826|1
1040487|20190826|1
1040514|20191002|1
1040585|20190929|1
1040587|20190926|1
1040614|20181121|1
1040632|20190923|1
1040632|20190923|1
1040671|20200102|1
1040738|20180307|1
1040767|20190416|1
1040884|20170627|1
1040934|20190717|1
1040937|20191210|1
1040956|20190826|1
1041032|20190605|1
1041064|20191006|1
1041131|20191002|2
1041152|20190926|1
1041176|20190623|1
1041210|20190826|1
1041273|20190826|1
1041478|20191205|1
1041550|20190826|1
1041575|20171112|1
1041579|20190826|1
1041611|20181104|1
1041631|20190818|2
1041661|20190826|2
1041687|20191006|1
1041768|20190826|1
1041779|20190826|1
1041810|20191208|1
1041834|20191219|1
1041932|20190826|2
1042085|20190826|2
1042131|20190826|2
1042150|20190718|1
1042271|20190826|1
1042284|20171207|1
1042287|20191218|1
1042311|20190519|1
1042338|20190826|2
1042366|20170726|1
1042460|20190826|1
1042473|20190826|1
1042511|20190826|1
1042538|20190729|2
1042634|20191117|1
1042637|20190826|1
1042638|20180913|2
1042661|20180702|1
1042732|20190826|1
1042734|20190826|1
1042737|20190826|1
1042762|20191226|1
1042838|20181028|1
1042862|20190826|1
1042876|20190826|1
1042938|20190826|1
1042968|20190826|1
1042972|20190826|1
1043031|20190829|2
1043037|20190826|1
1043076|20190826|1
1043084|20180115|1
1043285|20190418|1
1043337|20190826|1
1043338|20190826|1
1043367|20190606|1
1043437|20190826|1
1043475|20190826|2
1043573|20181021|1
1043632|20190826|1
1043638|20190826|1
1043679|20190912|1
1043711|20191107|1
1043737|20190826|1
1043753|20150511|1
1043772|20190826|2
1043774|20190826|1
1043835|20180808|1
1043838|20190826|1
1043860|20191211|1
1043876|20190826|1
1043937|20190826|1
1043976|20171226|1
1044034|20180422|1
1044056|20190826|1
1044064|20181104|1
1044135|20191208|1
1044138|20170601|1
1044178|20191031|1
1044184|20190815|1
1044274|20190905|1
1044285|20191204|1
1044329|20191124|1
1044334|20190826|1
1044337|20190826|1
1044337|20190826|1
1044411|20190902|1
1044432|20191217|1
1044437|20190826|1
1044611|20190826|2
1044874|20190131|1
1044887|20190826|1
1044964|20190911|1
1045061|20180605|1
1045171|20190826|1
1045176|20190729|1
1045260|20190619|1
1045278|20191211|1
1045287|20200105|1
1045311|20200109|1
1045314|20190821|1
1045478|20190512|1
1045573|20191211|1
1045761|20190826|1
1045778|20191208|1
1045878|20191222|1
1045879|20190522|1
1045885|20190826|1
1045887|20190826|1
1045923|20190825|1
1045935|20190826|1
1045964|20190826|1
1046060|20170808|1
1046134|20190826|1
1046264|20190826|2
1046287|20190826|1
1046338|20190826|1
1046384|20191104|2
1046387|20190826|1
1046411|20191028|1
1046432|20191225|1
1046434|20190826|1
1046511|20190826|1
1046534|20190826|1
1046556|20190826|1
1046556|20180207|1
1046562|20191118|1
1046564|20190107|1
1046574|20190826|1
1046611|20190730|1
1046656|20190826|1
1046811|20171218|1
1046838|20190826|1
1046872|20190826|1
1046932|20190206|1
1046984|20190106|1
1047038|20190826|1
1047050|20190826|1
1047084|20190826|1
1047087|20190826|1
1047168|20190326|1
1047184|20190826|2
1047238|20190721|1
1047266|20190826|1
1047334|20191023|2
1047379|20190826|1
1047432|20190127|1
1047438|20191215|1
1047460|20190826|1
1047476|20190705|1
1047487|20190110|2
1047538|20190320|1
1047552|20191007|1
1047568|20190826|1
1047573|20190725|1
1047585|20180620|2
1047611|20190826|2
1047634|20190826|1
1047737|20190826|1
1047738|20190826|1
1047760|20190826|2
1047811|20190826|1
1047835|20180531|1
1047856|20190826|1
1047876|20190916|1
1047987|20190826|1
1048020|20190625|1
1048060|20190826|1
1048161|20190826|1
1048176|20181101|1
1048185|20190826|2
1048250|20171025|1
1048252|20190826|1
1048311|20190805|1
1048338|20190519|1
1048366|20190826|1
1048434|20180813|1
1048438|20170918|1
1048479|20190826|1
1048514|20191119|1
1048571|20190826|1
1048634|20190826|1
1048637|20190826|1
